CSE Block 	Apartment	LovelyBakeStudio	Mojitos	Blue Moon Mojito		135	
CSE Block 	Apartment	LovelyBakeStudio	Softy	Mango / Strawberry / Paan / Chocolate / Vanilla		35	
CSE Block 	Apartment	South City Cafe	DOSA	Plain Dosa		60	
CSE Block 	Apartment	South City Cafe	DOSA	Paper Dosa		60	
CSE Block 	Apartment	South City Cafe	DOSA	Masala Dosa		70	
CSE Block 	Apartment	South City Cafe	DOSA	Butter Dosa		70	
CSE Block 	Apartment	South City Cafe	DOSA	Onion Dosa		70	
CSE Block 	Apartment	South City Cafe	DOSA	Ghee Podi Plain Dosa		80	
CSE Block 	Apartment	South City Cafe	DOSA	Ghee Plain Dosa		80	
CSE Block 	Apartment	South City Cafe	DOSA	Ghee Masala Dosa		90	
CSE Block 	Apartment	South City Cafe	DOSA	Ghee Podi Masala Dosa		90	
CSE Block 	Apartment	South City Cafe	DOSA	Benne Dosa		90	
CSE Block 	Apartment	South City Cafe	DOSA	Butter Masala Dosa		90	
CSE Block 	Apartment	South City Cafe	DOSA	Paneer Dosa		100	
CSE Block 	Apartment	South City Cafe	DOSA	Ghee Podi Paneer Dosa		120	
CSE Block 	Apartment	South City Cafe	DOSA	Schezwan Cheese Paneer Dosa		120	
CSE Block 	Apartment	South City Cafe	DOSA	Jini Dosa		120	
CSE Block 	Apartment	South City Cafe	DOSA	Kadhai Paneer Dosa		120	
CSE Block 	Apartment	South City Cafe	DOSA	Mysore Masala Dosa		120	
CSE Block 	Apartment	South City Cafe	DOSA	Cheese Chilli Paneer Dosa		140	
CSE Block 	Apartment	South City Cafe	DOSA	South City Spl. Dosa		200	
CSE Block 	Apartment	South City Cafe	IDLI	Plane Idli (4Pcs.)		50	
CSE Block 	Apartment	South City Cafe	IDLI	Ghee Podi Idli (3Pcs.)		60	
CSE Block 	Apartment	South City Cafe	IDLI	Thatte Idli (1Pcs.)		50	
CSE Block 	Apartment	South City Cafe	IDLI	Fried Idli (3Pcs.)		70	
CSE Block 	Apartment	South City Cafe	SNACKS	Veg. Omelette		50	
CSE Block 	Apartment	South City Cafe	SNACKS	Poha		50	
CSE Block 	Apartment	South City Cafe	SNACKS	Medhu Vada (4 Pcs.)		60	
CSE Block 	Apartment	South City Cafe	SNACKS	Dahi Vada (2 Pcs.)		70	
CSE Block 	Apartment	South City Cafe	COMBOS	Idli & Vada		60	
CSE Block 	Apartment	South City Cafe	COMBOS	Breakfast Combo (2 Pc Idli + 1 Vada + Poha + Tea)		90	
CSE Block 	Apartment	South City Cafe	LASSI	Sweet Lassi		50	
CSE Block 	Apartment	South City Cafe	LASSI	Salted Lassi		50	
CSE Block 	Apartment	South City Cafe	UTTAPAM	Onion Uttapam		70	
CSE Block 	Apartment	South City Cafe	UTTAPAM	Ghee Podi Onion Uttpam		90	
CSE Block 	Apartment	South City Cafe	UTTAPAM	Veg. Uttapam		80	
CSE Block 	Apartment	South City Cafe	UTTAPAM	Paneer Uttapam		100	
CSE Block 	Apartment	South City Cafe	UTTAPAM	Cheese Uttapam		120	
CSE Block 	Apartment	Nescafe	SANDWICH	Veg Cheese Sandwich		90	
CSE Block 	Apartment	Nescafe	SANDWICH	Paneer Makhni Sandwich		110	
CSE Block 	Apartment	Nescafe	SANDWICH	Chipotle Paneer Sandwich (With Fries)		130	
CSE Block 	Apartment	Nescafe	SANDWICH	Paneer Mint Sandwich (2 Piece)		50	
CSE Block 	Apartment	Nescafe	FRIES	Salted Fries		90	
CSE Block 	Apartment	Nescafe	FRIES	Masala/ Peri Peri Fries		90	
CSE Block 	Apartment	Nescafe	FRIES	Mint Fries		90	
CSE Block 	Apartment	Nescafe	FRIES	Cheesy Fries		100	
CSE Block 	Apartment	Nescafe	FRIES	Loaded Fries		130	
CSE Block 	Apartment	Nescafe	FRIES	Ultimate Fries Bucket		150	
CSE Block 	Apartment	Nescafe	MOJITO	Virgin Mojito		70	
CSE Block 	Apartment	Nescafe	MOJITO	Green Apple Mojito		70	
CSE Block 	Apartment	Nescafe	MOJITO	Watermelon Mojito		70	
CSE Block 	Apartment	Nescafe	MOJITO	Passion Fruit		70	
CSE Block 	Apartment	Nescafe	MOJITO	Peach Mojito		70	
CSE Block 	Apartment	Nescafe	PASTA	White Sauce Pasta		100	
CSE Block 	Apartment	Nescafe	PASTA	Red Sauce Pasta		100	
CSE Block 	Apartment	Nescafe	PASTA	Mix Sauce Pasta		110	
CSE Block 	Apartment	Nescafe	WRAP	Aloo Tikki Wrap		70	
CSE Block 	Apartment	Nescafe	WRAP	Paneer Wrap		85	
CSE Block 	Apartment	Nescafe	KRUSHER	Chocolate Krusher		80	
CSE Block 	Apartment	Nescafe	KRUSHER	Strawberry Krusher		90	
CSE Block 	Apartment	Nescafe	KRUSHER	Banana Caramel		90	
CSE Block 	Apartment	Nescafe	KRUSHER	Mango Alphanso Krusher		90	
CSE Block 	Apartment	Nescafe	KRUSHER	Blueberry Krusher		90	
CSE Block 	Apartment	Nescafe	KRUSHER	Salted Caramel		90	
CSE Block 	Apartment	Nescafe	KRUSHER	Belgian Chocolate Krusher		100	
CSE Block 	Apartment	Nescafe	KRUSHER	Kit-kat Krusher		100	
CSE Block 	Apartment	Nescafe	KRUSHER	Brownie Krusher		110	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Iced Americano		70	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Affogato		80	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Iced Latte		90	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Iced Cappuccino		90	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Classic Cold Coffee with ice cream		90	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Signature Cold Coffee with ice cream (freshly brewed)		100	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Iced Mocha		100	
CSE Block 	Apartment	Nescafe	COLD COFFEE	Strong Cold Coffee		110	
CSE Block 	Apartment	Nescafe	BURGER	Veg Cheese Burger		60	
CSE Block 	Apartment	Nescafe	BURGER	Shezwan Cheese Burger		70	
CSE Block 	Apartment	Nescafe	BURGER	Maharaja Burger		100	
CSE Block 	Apartment	Nescafe	BURGER	Mac-Paneer Burger		100	
CSE Block 	Apartment	Nescafe	SUB	Paneer Tikka Sub		90	
CSE Block 	Apartment	Nescafe	SUB	Aloo Tikki Sub		90	
CSE Block 	Apartment	Nescafe	SUB	Mix Sub		110	
CSE Block 	Apartment	Basant Icecream	Shakes	Strawberry Shake		69	
CSE Block 	Apartment	Basant Icecream	Shakes	Vanilla Shake		69	
CSE Block 	Apartment	Basant Icecream	Shakes	Butterscotch Shake		69	
CSE Block 	Apartment	Basant Icecream	Shakes	Cold Coffee		79	
CSE Block 	Apartment	Basant Icecream	Shakes	Chocolate Oreo Shake		89	
CSE Block 	Apartment	Basant Icecream	Shakes	Tutti Frutti Shake		89	
CSE Block 	Apartment	Basant Icecream	Shakes	Melting Rose Shake		99	
CSE Block 	Apartment	Basant Icecream	Shakes	Ferrero Rocher Shake		110	
CSE Block 	Apartment	Basant Icecream	Shakes	Chocolate Brownie Shake		99	
CSE Block 	Apartment	Basant Icecream	Shakes	Alphonso Mango Shake		79	
CSE Block 	Apartment	Basant Icecream	Shakes	Red Velvet Shake		99	
CSE Block 	Apartment	Basant Icecream	Shakes	Lotus Biscoff Shake		99	
CSE Block 	Apartment	Basant Icecream	Shakes	KitKat Shake		99	
CSE Block 	Apartment	Basant Icecream	Shakes	Classic Nutella Shake		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Vanilla (Single Scoop)		40	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Vanilla (Double Scoop)		70	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Strawberry (Single Scoop)		40	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Strawberry (Double Scoop)		70	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Mango (Single Scoop)		40	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Mango (Double Scoop)		70	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Blue Berry (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Blue Berry (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Black Currant (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Black Currant (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Butterscotch (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Butterscotch (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Chocolate (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Chocolate (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Bubble Gum (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Bubble Gum (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Pan Ice Cream (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Pan Ice Cream (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Tutti Frutti (Single Scoop)		50	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Tutti Frutti (Double Scoop)		90	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Midnight Dark Chocolate (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Midnight Dark Chocolate (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Brownie Chocolate (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Brownie Chocolate (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Basant Special Fruit Ice Cream (Single Scoop)		70	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Basant Special Fruit Ice Cream (Double Scoop)		120	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Kashmiri Gulkand (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Kashmiri Gulkand (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Ras Malai (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Ras Malai (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Pop Corn Ice Cream (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Pop Corn Ice Cream (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Kaju Kishmish (Single Scoop)		70	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Kaju Kishmish (Double Scoop)		120	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Roasted Almond (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Roasted Almond (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	American Nut (Single Scoop)		60	
CSE Block 	Apartment	Basant Icecream	Ice Cream	American Nut (Double Scoop)		110	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Ferrero Rocher (Single Scoop)		80	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Ferrero Rocher (Double Scoop)		150	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Coffee 'n' Nut (Single Scoop)		80	
CSE Block 	Apartment	Basant Icecream	Ice Cream	Coffee 'n' Nut (Double Scoop)		150	
CSE Block 	Apartment	Basant Icecream	Beverages	Mint Mojito		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Virgin Mojito		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Green Apple		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Blue Curacao		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Masala Lemonade		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Watermelon Mojito		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Lemon Iced Tea		80	
CSE Block 	Apartment	Basant Icecream	Sundae	Chocolate Brownie Nitrogen Sundae		110	
CSE Block 	Apartment	Basant Icecream	Sundae	Cookie Cream Nitrogen Sundae		90	
CSE Block 	Apartment	Basant Icecream	Sundae	Black Currant Nitrogen Sundae		90	
CSE Block 	Apartment	Basant Icecream	Sundae	5 Star Crunchy Nitrogen Sundae		90	
CSE Block 	Apartment	Basant Icecream	Sundae	Red Velvet Cheese Nitrogen Sundae		110	
CSE Block 	Apartment	Basant Icecream	Sundae	Fresh Strawberry Nitrogen Sundae		90	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion Pizza (8-inch)		80	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion Pizza (10-inch)		150	
CSE Block 	Apartment	Basant Icecream	Pizza	Capsicum Pizza (8-inch)		80	
CSE Block 	Apartment	Basant Icecream	Pizza	Capsicum Pizza (10-inch)		150	
CSE Block 	Apartment	Basant Icecream	Pizza	Sweet Corn Pizza (8-inch)		80	
CSE Block 	Apartment	Basant Icecream	Pizza	Sweet Corn Pizza (10-inch)		150	
CSE Block 	Apartment	Basant Icecream	Pizza	Tomato Pizza (8-inch)		80	
CSE Block 	Apartment	Basant Icecream	Pizza	Tomato Pizza (10-inch)		150	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion & Paneer Pizza (8-inch)		100	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion & Paneer Pizza (10-inch)		180	
CSE Block 	Apartment	Basant Icecream	Pizza	Sweet Corn Double Topping Pizza (8-inch)		100	
CSE Block 	Apartment	Basant Icecream	Pizza	Sweet Corn Double Topping Pizza (10-inch)		180	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion & Capsicum Pizza (8-inch)		100	
CSE Block 	Apartment	Basant Icecream	Pizza	Onion & Capsicum Pizza (10-inch)		180	
CSE Block 	Apartment	Basant Icecream	Pizza	Mushroom Pizza (8-inch)		100	
CSE Block 	Apartment	Basant Icecream	Pizza	Mushroom Pizza (10-inch)		180	
CSE Block 	Apartment	Basant Icecream	Pizza	Fresh Veg Pizza (8-inch)		140	
CSE Block 	Apartment	Basant Icecream	Pizza	Fresh Veg Pizza (10-inch)		250	
CSE Block 	Apartment	Basant Icecream	Pizza	Cheese & Corn Pizza (8-inch)		140	
CSE Block 	Apartment	Basant Icecream	Pizza	Cheese & Corn Pizza (10-inch)		250	
CSE Block 	Apartment	Basant Icecream	Pizza	Cheese & Tomato Pizza (8-inch)		140	
CSE Block 	Apartment	Basant Icecream	Pizza	Cheese & Tomato Pizza (10-inch)		250	
CSE Block 	Apartment	Basant Icecream	Pizza	Double Cheese Margherita (8-inch)		140	
CSE Block 	Apartment	Basant Icecream	Pizza	Double Cheese Margherita (10-inch)		250	
CSE Block 	Apartment	Basant Icecream	Pizza	Farm House Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Farm House Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Pappy Paneer Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Pappy Paneer Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Paneer Makhani Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Paneer Makhani Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Supreme Veg Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Supreme Veg Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Corn Capsicum Tomato Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Corn Capsicum Tomato Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Deluxe Veg Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Deluxe Veg Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Pizza	Paradise Pizza (8-inch)		160	
CSE Block 	Apartment	Basant Icecream	Pizza	Paradise Pizza (10-inch)		280	
CSE Block 	Apartment	Basant Icecream	Maggi	Original Masala Maggie		50	
CSE Block 	Apartment	Basant Icecream	Maggi	Green Chilli Maggie		50	
CSE Block 	Apartment	Basant Icecream	Maggi	Special Masala Maggie		60	
CSE Block 	Apartment	Basant Icecream	Maggi	Veg Maggie		60	
CSE Block 	Apartment	Basant Icecream	Maggi	Peri Peri Maggie		60	
CSE Block 	Apartment	Basant Icecream	Maggi	Butter Garlic Maggie		70	
CSE Block 	Apartment	Basant Icecream	Maggi	Cheese Oregano Maggie		70	
CSE Block 	Apartment	Basant Icecream	Maggi	Italian Tomato Maggie		70	
CSE Block 	Apartment	Basant Icecream	Maggi	Biryani Maggie		80	
CSE Block 	Apartment	Basant Icecream	Maggi	Manchurian Maggie		80	
CSE Block 	Apartment	Basant Icecream	Maggi	Cheese Pasta Maggie		80	
CSE Block 	Apartment	Basant Icecream	Maggi	Makhni Gravy Maggie		80	
CSE Block 	Apartment	Basant Icecream	Pasta	White Sauce Pasta		80	
CSE Block 	Apartment	Basant Icecream	Pasta	Red Sauce Pasta		80	
CSE Block 	Apartment	Basant Icecream	Pasta	Mix Sauce Pasta		90	
CSE Block 	Apartment	Basant Icecream	Pasta	Hot & Spicy Pasta		100	
CSE Block 	Apartment	Basant Icecream	Pasta	Baked Pasta		120	
CSE Block 	Apartment	Basant Icecream	Pasta	Exotic Pane Pasta		120	
CSE Block 	Apartment	Basant Icecream	Sandwich	Grilled Sandwich		80	
CSE Block 	Apartment	Basant Icecream	Sandwich	Spicy Grilled Sandwich		100	
CSE Block 	Apartment	Basant Icecream	Sandwich	Cheese Grilled Sandwich		110	
CSE Block 	Apartment	Basant Icecream	Sandwich	Paneer Sandwich		110	
CSE Block 	Apartment	Basant Icecream	Rolls	Mix Veg Roll		60	
CSE Block 	Apartment	Basant Icecream	Rolls	Aloo Patty Roll		80	
CSE Block 	Apartment	Basant Icecream	Rolls	Paneer Roll		80	
CSE Block 	Apartment	Basant Icecream	Rolls	Veg Roll		70	
CSE Block 	Apartment	Basant Icecream	Rolls	Cheese Corn Roll		90	
CSE Block 	Apartment	Basant Icecream	Rolls	Chinese Tomato Roll		90	
CSE Block 	Apartment	Basant Icecream	Rolls	Classic Cheese Roll		130	
CSE Block 	Apartment	Basant Icecream	Rolls	Hara Bhara Roll		130	
CSE Block 	Apartment	Basant Icecream	Sides	Garlic Bread		80	
CSE Block 	Apartment	Basant Icecream	Sides	Stuffed Garlic Bread		120	
CSE Block 	Apartment	Basant Icecream	Sides	Zingy Parcel		60	
CSE Block 	Apartment	Basant Icecream	Beverages	Special Milk Badam		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Veggie Half		59	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Veggie Full		89	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Veggie Combo		89	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Spinach Half		69	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Spinach Full		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Spinach Combo		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Mushroom Half		69	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Mushroom Full		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Mushroom Combo		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Broccoli Half		69	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Broccoli Full		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Broccoli Combo		99	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Paneer Half		79	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Paneer Full		109	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Paneer Combo		109	
CSE Block 	Apartment	DimSum Box	Dumplings	Wheat Dumplings Spinach & Corn Half		79	
